inspector_id,total_inspections,median_duration_min,median_distance_km,offer_rate_pct,pattern_flag
CJ1084,124,35.00,36.3,81.45,"FLAG: High Distance Pattern"
CJ1087,112,37.00,38.9,81.25,"FLAG: High Distance Pattern"
CJ1043,110,35.00,38.68,88.18,"FLAG: High Distance Pattern"
CJ1080,108,33.50,38.84,78.70,"FLAG: High Distance Pattern"
CJ1096,108,36.50,37.98,77.78,"FLAG: High Distance Pattern"
CJ1012,107,33.00,33.51,75.70,"FLAG: High Distance Pattern"
CJ1095,107,37.50,36.58,70.09,"FLAG: High Distance Pattern"
CJ1005,104,40.00,31.7,72.12,"FLAG: High Distance Pattern"
CJ1072,104,38.00,33.75,74.04,"FLAG: High Distance Pattern"
CJ1019,103,36.00,37.94,67.96,"FLAG: High Distance Pattern"
CJ1066,103,36.00,36.26,74.76,"FLAG: High Distance Pattern"
CJ1032,102,37.50,33.86,87.25,"FLAG: High Distance Pattern"
CJ1039,102,35.50,31.58,81.37,"FLAG: High Distance Pattern"
CJ1074,102,34.00,40.76,84.31,"FLAG: High Distance Pattern"
CJ1006,101,36.50,32.26,78.22,"FLAG: High Distance Pattern"
CJ1008,100,37.50,31.78,78.00,"FLAG: High Distance Pattern"
CJ1073,100,36.00,36.1,80.00,"FLAG: High Distance Pattern"
CJ1097,99,37.00,35,71.72,"FLAG: High Distance Pattern"
CJ1029,98,37.50,36.6,68.37,"FLAG: High Distance Pattern"
CJ1020,97,36.00,37.72,84.54,"FLAG: High Distance Pattern"
CJ1040,97,34.00,31.38,82.47,"FLAG: High Distance Pattern"
CJ1176,97,35.00,32.89,74.23,"FLAG: High Distance Pattern"
CJ1044,95,36.00,37.34,82.11,"FLAG: High Distance Pattern"
CJ1153,95,34.00,34.52,73.68,"FLAG: High Distance Pattern"
CJ1004,94,35.50,38.48,74.47,"FLAG: High Distance Pattern"
CJ1076,93,37.00,37.32,82.80,"FLAG: High Distance Pattern"
CJ1092,93,38.00,34.98,73.12,"FLAG: High Distance Pattern"
CJ1013,92,35.00,39.65,77.17,"FLAG: High Distance Pattern"
CJ1031,92,36.00,34.64,76.09,"FLAG: High Distance Pattern"
CJ1069,92,36.00,38.01,70.65,"FLAG: High Distance Pattern"
CJ1081,92,36.00,34.5,77.17,"FLAG: High Distance Pattern"
CJ1007,91,34.00,34.47,83.52,"FLAG: High Distance Pattern"
CJ1075,91,37.00,36.96,75.82,"FLAG: High Distance Pattern"
CJ1093,91,35.00,35.97,83.52,"FLAG: High Distance Pattern"
CJ1180,91,32.00,34.75,84.62,"FLAG: High Distance Pattern"
CJ1065,90,38.00,35.45,80.00,"FLAG: High Distance Pattern"
CJ1068,90,34.00,33.36,86.67,"FLAG: High Distance Pattern"
CJ1077,90,36.00,34.95,77.78,"FLAG: High Distance Pattern"
CJ1079,90,36.00,32.76,83.33,"FLAG: High Distance Pattern"
CJ1090,90,36.00,35.86,76.67,"FLAG: High Distance Pattern"
CJ1181,90,37.00,30.35,75.56,"FLAG: High Distance Pattern"
CJ1023,89,35.00,35.34,76.40,"FLAG: High Distance Pattern"
CJ1034,89,35.00,34.25,76.40,"FLAG: High Distance Pattern"
CJ1035,89,37.00,32.74,86.52,"FLAG: High Distance Pattern"
CJ1045,89,38.00,31.63,77.53,"FLAG: High Distance Pattern"
CJ1086,89,37.00,38.43,85.39,"FLAG: High Distance Pattern"
CJ1099,89,32.50,40.34,62.92,"FLAG: 11 suspicious inspections (>20km & <5min)"
CJ1016,88,36.00,35.47,76.14,"FLAG: High Distance Pattern"
CJ1025,88,34.00,33.69,80.68,"FLAG: High Distance Pattern"
CJ1070,88,33.50,39.28,84.09,"FLAG: High Distance Pattern"
CJ1118,88,36.00,31.05,80.68,"FLAG: High Distance Pattern"
CJ1094,87,40.00,36.3,83.91,"FLAG: High Distance Pattern"
CJ1151,87,36.00,35.28,79.31,"FLAG: High Distance Pattern"
CJ1177,87,34.00,37.38,77.01,"FLAG: High Distance Pattern"
CJ1003,86,32.50,33.5,81.40,"FLAG: High Distance Pattern"
CJ1009,86,36.00,36.53,84.88,"FLAG: High Distance Pattern"
CJ1014,86,35.00,33.9,81.40,"FLAG: High Distance Pattern"
CJ1062,86,38.00,40.68,76.74,"FLAG: 9 suspicious inspections (>20km & <5min)"
CJ1082,86,34.00,37.3,76.74,"FLAG: High Distance Pattern"
CJ1037,85,35.00,33.11,80.00,"FLAG: High Distance Pattern"
CJ1042,85,39.00,35.32,72.94,"FLAG: High Distance Pattern"
CJ1083,85,35.00,31.08,80.00,"FLAG: High Distance Pattern"
CJ1108,85,37.00,37.42,70.59,"FLAG: 7 suspicious inspections (>20km & <5min)"
CJ1109,85,33.00,45.08,75.29,"FLAG: 11 suspicious inspections (>20km & <5min)"
