cohort_week,total_leads,inspected_24h_count,pct_inspected_24h,inspected_48h_count,pct_inspected_48h,inspected_7d_count,pct_inspected_7d
2026-01-05,1311,0,0.00,0,0.00,0,0.00
2026-02-02,1218,0,0.00,0,0.00,0,0.00
2026-03-02,1236,0,0.00,0,0.00,0,0.00
2026-04-06,1238,0,0.00,0,0.00,0,0.00
2026-05-04,1267,0,0.00,0,0.00,0,0.00
2026-06-01,1837,239,13.01,505,27.49,547,29.78
2026-06-08,2499,324,12.97,744,29.77,821,32.85
2026-06-15,4212,865,20.54,1445,34.31,1541,36.59
2026-06-22,4061,835,20.56,1399,34.45,1508,37.13
2026-06-29,1714,457,26.66,638,37.22,660,38.51
2026-07-06,2163,512,23.67,610,28.20,630,29.13
2026-07-13,3496,698,19.97,1162,33.24,1224,35.01
2026-07-20,3614,661,18.29,1147,31.74,1218,33.70
2026-07-27,3107,698,22.47,965,31.06,989,31.83
2026-08-03,2468,529,21.43,767,31.08,807,32.70
2026-08-10,2494,300,12.03,558,22.37,613,24.58
2026-08-17,3472,474,13.65,866,24.94,938,27.02
2026-08-24,3869,633,16.36,1025,26.49,1079,27.89
2026-08-31,884,254,28.73,273,30.88,273,30.88
2026-09-07,957,293,30.62,293,30.62,293,30.62
2026-10-05,1167,384,32.90,384,32.90,384,32.90
2026-11-02,1293,453,35.03,453,35.03,453,35.03
2026-11-30,432,159,36.81,159,36.81,159,36.81
2026-12-07,803,267,33.25,267,33.25,267,33.25
